node_1|node_2|edge|chunk_id
Abu Bakr Al-Mashhūr|Post-Colonial Neo-Traditionalist Response|Abu Bakr Al-Mashhūr's work represents a Post-Colonial Neo-Traditionalist Response to Modernity|ad10adb055d49bbc606c5793fae0bd8a
Modernity|Post-Colonial Neo-Traditionalist Response|The Post-Colonial Neo-Traditionalist Response is a response to the challenges of Modernity|37e299fc2daee8aecc2989798da52f19
Abu Bakr Al-Mashhūr|Thesis|Abu Bakr Al-Mashhūr submitted a Thesis on the topic of Post-Colonial Neo-Traditionalist Response to Modernity|cc8c8e210f53a2bb21f3c2da93f0037c
University of Birmingham|DOCTOR OF PHILOSOPHY|Abu Bakr Al-Mashhūr obtained a DOCTOR OF PHILOSOPHY degree from the University of Birmingham|1bd2f1795e8ada5f3fd5aeeda7f37832
School of Philosophy, Theology and Religion|University of Birmingham|The Thesis was submitted to the School of Philosophy, Theology and Religion at the University of Birmingham|2b0e4e1f44fdfdc0a7988a6e2778d718
Abu Bakr Al-Mashhūr|Post-Colonial Neo-Traditionalist Response|Abu Bakr Al-Mashhūr's work represents a Post-Colonial Neo-Traditionalist Response to Modernity|ad10adb055d49bbc606c5793fae0bd8a
Modernity|Post-Colonial Neo-Traditionalist Response|The Post-Colonial Neo-Traditionalist Response is a response to the challenges of Modernity|37e299fc2daee8aecc2989798da52f19
Abu Bakr Al-Mashhūr|Thesis|Abu Bakr Al-Mashhūr submitted a Thesis on the topic of Post-Colonial Neo-Traditionalist Response to Modernity|cc8c8e210f53a2bb21f3c2da93f0037c
University of Birmingham|DOCTOR OF PHILOSOPHY|Abu Bakr Al-Mashhūr obtained a DOCTOR OF PHILOSOPHY degree from the University of Birmingham|1bd2f1795e8ada5f3fd5aeeda7f37832
School of Philosophy, Theology and Religion|University of Birmingham|The Thesis was submitted to the School of Philosophy, Theology and Religion at the University of Birmingham|2b0e4e1f44fdfdc0a7988a6e2778d718
Abu Bakr Al-Mashhūr|traditionalist scholar|represents|dbbd570742b88a2187b5fc51131bff11
Yemeni|scholar|is a significant representative of this hitherto neglected trend|46345655ed2a20e2e496335eaf8cf1bc
European modernity|colonial tool|responsible for corroding|ad3a5e210547fecabb9b548db74dd346
Al-Mashhūr's writings|comprehensive analysis|drawing on|0b378cf311a8472e6c1ccd5cff0794d6
traditionalist Muslim scholars|complex phenomenon of modernity|engage with and respond to|50df32b8268a3059793968370f803f38
decolonial narrative|traditional Muslim scholarship|emerges within|a7d0acb3ee28d44e81d6b0e37dd86a5d
confidence in tradition|narrative|underpins this|6767c477b34f80524cf9d6096e95343b
Abu Bakr Al-Mashhūr|traditionalist scholar|represents|dbbd570742b88a2187b5fc51131bff11
Yemeni|scholar|is a significant representative of this hitherto neglected trend|46345655ed2a20e2e496335eaf8cf1bc
European modernity|colonial tool|responsible for corroding|ad3a5e210547fecabb9b548db74dd346
Al-Mashhūr's writings|comprehensive analysis|drawing on|0b378cf311a8472e6c1ccd5cff0794d6
traditionalist Muslim scholars|complex phenomenon of modernity|engage with and respond to|50df32b8268a3059793968370f803f38
decolonial narrative|traditional Muslim scholarship|emerges within|a7d0acb3ee28d44e81d6b0e37dd86a5d
confidence in tradition|narrative|underpins this|6767c477b34f80524cf9d6096e95343b
ability to engage|reverting to Islamism|disconnection|c3a4812d0be193ed0ce0291c84163115
ability to engage|compromise with other forms of modernism|alternative|c8f25c226641295fc010bb2ea912740e
original findings|understanding of traditional responses|clarification|71a7d208dbb5e66bfb70edc558d1ef7c
traditional responses|alternative modernity|connection|7be70443bf322dc84d1a83060f6b4a9a
alternative modernity|ranks of traditional scholars|contextualization|c88dab1b4d6d7d3f284388a8ccc500e9
ability to engage|reverting to Islamism|disconnection|c3a4812d0be193ed0ce0291c84163115
ability to engage|compromise with other forms of modernism|alternative|c8f25c226641295fc010bb2ea912740e
original findings|understanding of traditional responses|clarification|71a7d208dbb5e66bfb70edc558d1ef7c
traditional responses|alternative modernity|connection|7be70443bf322dc84d1a83060f6b4a9a
alternative modernity|ranks of traditional scholars|contextualization|c88dab1b4d6d7d3f284388a8ccc500e9
supervisor|Dr. Katherine E. Brown|mentorship, patience, encouragement, insightful discussions, resourcefulness and for suggesting breaks from the tedious process of coding|a79947729acbc9c225f88de80a37e1ce
examiners|Dr. Junaid Quadri and Dr. Jørgen Nielsen|kindly accepting to be the examiners for this thesis, great honour to be graced by their presence and valuable feedback|3dae3aa3a0a72740702c997bfe8b477d
wife|Bilkīs|listening patiently to my ideas and summaries of my readings and read through drafts of my chapters for feedback|491574cd68224cfc5cd692a9b2b80cad
daughters|Az-Zahra, Maryam and Khadījah|continued sacrifice and understanding of my need to dedicate time and thought to the undertakings of this PhD|56d8f6f7895f1eef610e7e48ab190eeb
friend and student|Raheem Yusuf Mahmood|reading many of these chapters, discussing their ideas and suggesting papers and references to read and refine the argument|2587fa92a6d547fc8c8f189323e69109
friends|Yusuf Chaudhary and Bano Murtaja|reading the thesis|2b64de65157c61cdd8b9c89163a7b651
supervisor|Dr. Katherine E. Brown|mentorship, patience, encouragement, insightful discussions, resourcefulness and for suggesting breaks from the tedious process of coding|a79947729acbc9c225f88de80a37e1ce
examiners|Dr. Junaid Quadri and Dr. Jørgen Nielsen|kindly accepting to be the examiners for this thesis, great honour to be graced by their presence and valuable feedback|3dae3aa3a0a72740702c997bfe8b477d
wife|Bilkīs|listening patiently to my ideas and summaries of my readings and read through drafts of my chapters for feedback|491574cd68224cfc5cd692a9b2b80cad
daughters|Az-Zahra, Maryam and Khadījah|continued sacrifice and understanding of my need to dedicate time and thought to the undertakings of this PhD|56d8f6f7895f1eef610e7e48ab190eeb
friend and student|Raheem Yusuf Mahmood|reading many of these chapters, discussing their ideas and suggesting papers and references to read and refine the argument|2587fa92a6d547fc8c8f189323e69109
friends|Yusuf Chaudhary and Bano Murtaja|reading the thesis|2b64de65157c61cdd8b9c89163a7b651
thesis|argument|refine|078ae09864e5257c7e70aa5f401f209e
Yusuf Chaudhary|Bano Murtaja|provided valuable feedback|da6cc353aa8ce9ea6d32094201c13f0c
Shaykh KhalafAllah al-Ja'lī|Shaykh Muḥammad Ḥaydarah al-Jīlani|insistence to complete the project|013652b6bf47372ddb07b4b64891848e
Sayyid Aḥmad ʿUmar al-Kāf|Rāid Abd Al-Āl|continuous assistance with books and manuscripts|fca72eeb068cdc505febb953cd6b3fab
others|thanks|deserve thanks and gratitude|0601967885a1c752e0a5427cc297d508
thesis|argument|refine|078ae09864e5257c7e70aa5f401f209e
Yusuf Chaudhary|Bano Murtaja|provided valuable feedback|da6cc353aa8ce9ea6d32094201c13f0c
Shaykh KhalafAllah al-Ja'lī|Shaykh Muḥammad Ḥaydarah al-Jīlani|insistence to complete the project|013652b6bf47372ddb07b4b64891848e
Sayyid Aḥmad ʿUmar al-Kāf|Rāid Abd Al-Āl|continuous assistance with books and manuscripts|fca72eeb068cdc505febb953cd6b3fab
others|thanks|deserve thanks and gratitude|0601967885a1c752e0a5427cc297d508
PhD|parents' wish|was motivated by|21bcfe59fa94ecd9b4bb5d74c618d62d
late parents|graves|will give them joy in|255e0175c012848e85512561c2a44b74
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|idea of writing a PhD about his ideas|welcomed and supported|39a6aa419b9a16f1174ba7b15eb85b66
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|books and resources|helped with|f404b7d278bc4b05ac0e8c42004ba9f4
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|thoughts|was keen to hear|d1b06b42d02f1cc04a17e88858e49d02
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|PhD project|departed before the completion of|55fd5661739a1f0f7ebbe47528f2c426
PhD|parents' wish|was motivated by|21bcfe59fa94ecd9b4bb5d74c618d62d
late parents|graves|will give them joy in|255e0175c012848e85512561c2a44b74
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|idea of writing a PhD about his ideas|welcomed and supported|39a6aa419b9a16f1174ba7b15eb85b66
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|books and resources|helped with|f404b7d278bc4b05ac0e8c42004ba9f4
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|thoughts|was keen to hear|d1b06b42d02f1cc04a17e88858e49d02
Ḥabīb Abu Bakr b. ͑Ali Al-Mashhūr|PhD project|departed before the completion of|55fd5661739a1f0f7ebbe47528f2c426
Transliteration|System|The thesis uses a modified form of transliteration system...|17f55f6f042f7ba8688885533e1da228
Arabic|English|...based on the International Journal of Middle East Studies system for Arabic to English transliteration.|e50153ca3d816f36373206f0bfd8db13
Hamzah|' (symbol)|It employs the symbol (’) for hamzah...|1aa15ae86d7dad47d75f6e488856adc9
Alayn|( ͑ ) (symbol)|...and ( ͑ ) for ͑ayn (ع...|01ebecf287bb7979963d9a685d897409
Definite article|Al|...in this format regardless of its pronunciation.|71a5d631a31b09e3d0545a4d7af40b93
Translation|Literal representation|Translations are as close to literal representation as possible...|1760cb094511be3b60749d060a8b5f9a
Meaning|Priority|...unless literal translation leads to distorting the intended meaning, I have given priority to the meaning.|ab035c189a113577dfb811018f97c72e
Original words|Terminology|I have kept the original words transliterated (without translation) when they were used as terminology...|f292a09a03f4fbf73eb7d09346a3c5eb
Transliteration|System|The thesis uses a modified form of transliteration system...|17f55f6f042f7ba8688885533e1da228
Arabic|English|...based on the International Journal of Middle East Studies system for Arabic to English transliteration.|e50153ca3d816f36373206f0bfd8db13
Hamzah|' (symbol)|It employs the symbol (’) for hamzah...|1aa15ae86d7dad47d75f6e488856adc9
Alayn|( ͑ ) (symbol)|...and ( ͑ ) for ͑ayn (ع...|01ebecf287bb7979963d9a685d897409
Definite article|Al|...in this format regardless of its pronunciation.|71a5d631a31b09e3d0545a4d7af40b93
Translation|Literal representation|Translations are as close to literal representation as possible...|1760cb094511be3b60749d060a8b5f9a
