node_1|node_2|edge|chunk_id|node_3
César Chávez|Farmworkers' Movement|César Chávez led the farmworkers' movement|973e223a3969f27149ec4b9d43b5390f|
Paulo Freire|Integrative Synthesizer|Paulo Freire is an integrative synthesizer|800ac58115970750e6e9b2ceb916cb69|
Frida Kahlo|Empathetic Perspective-Taker|Frida Kahlo is an empathetic perspective-taker|be55097060ef2d8acc48b561d34fa135|
Gabriel García Márquez|Creative Synthesizer|Gabriel García Márquez is a creative synthesizer|7c76df394d830bbded0e0710b4b984ca|
Magical Realism|Conceptual Blending Challenges|Magical realism presents conceptual blending challenges|0c411c70ce4d022dce1fa0852e52e931|
Rigoberta Menchú|Empathetic Perspective-Taker|Rigoberta Menchú is an empathetic perspective-taker|26fb8c4acc66eef697f6cf2eadec6cf4|
César Chávez|Predictive Visionary|César Chávez is a predictive visionary|5feb29d8c465358839a87e14ec887577|
Oral History|Rigoberta Menchú|Rigoberta Menchú's story is documented in oral history|7c361c6affd83b995c260a4329fb6fff|
César Chávez|Farmworkers' Movement|César Chávez led the farmworkers' movement|973e223a3969f27149ec4b9d43b5390f|
Paulo Freire|Integrative Synthesizer|Paulo Freire is an integrative synthesizer|800ac58115970750e6e9b2ceb916cb69|
Frida Kahlo|Empathetic Perspective-Taker|Frida Kahlo is an empathetic perspective-taker|be55097060ef2d8acc48b561d34fa135|
Gabriel García Márquez|Creative Synthesizer|Gabriel García Márquez is a creative synthesizer|7c76df394d830bbded0e0710b4b984ca|
Magical Realism|Conceptual Blending Challenges|Magical realism presents conceptual blending challenges|0c411c70ce4d022dce1fa0852e52e931|
Frida Kahlo|Empathetic Perspective-Taker|Frida Kahlo is an example of an Empathetic Perspective-Taker|40fcecd3303e64f52e4bb39e16116cf1|
Culturally Contextualized Debates|Frida's World (VR Experience)|The Culturally Contextualized Debates are a part of Frida's World VR Experience|e4d3a8476885b4959bfab3eef7d72d81|
Augmented Reality|Conceptual Blending Challenges|Augmented Reality enables Conceptual Blending Challenges|c10a8f0247e46ee19afab1b41364afcb|
Frida Kahlo Creative Synthesizer|Immersive Experientialist|The Frida Kahlo Creative Synthesizer is an example of Immersive Experientialist|8b7bd61c3ecaa484d52440e63139a102|
Gabriel García Márquez|Interactive Narrative Simulations|Gabriel García Márquez's work inspired Interactive Narrative Simulations|56b029acb00ec4416acd22ec3132ac82|
The Gabo Experience (Interactive Installation)|Immersive Experientialist|The Gabo Experience is an example of Immersive Experientialist|97984692473c97a760dd57d0f0b33f17|
Rigoberta Menchú|Empathetic Perspective-Taker|Rigoberta Menchú is also an Empathetic Perspective-Taker|5fdcddd192e6082d5cb8a77bbb4fa9a5|
The Menchú Experience (Interactive Installation)|Culturally Contextualized Debates|The Menchú Experience features Culturally Contextualized Debates|be2b729b7ef7ce13a9d00f176a94c22a|
Frida Kahlo|Empathetic Perspective-Taker|Frida Kahlo is an example of an Empathetic Perspective-Taker|40fcecd3303e64f52e4bb39e16116cf1|
Culturally Contextualized Debates|Frida's World (VR Experience)|The Culturally Contextualized Debates are a part of Frida's World VR Experience|e4d3a8476885b4959bfab3eef7d72d81|
Augmented Reality|Conceptual Blending Challenges|Augmented Reality enables Conceptual Blending Challenges|c10a8f0247e46ee19afab1b41364afcb|
Frida Kahlo Creative Synthesizer|Immersive Experientialist|The Frida Kahlo Creative Synthesizer is an example of Immersive Experientialist|8b7bd61c3ecaa484d52440e63139a102|
Gabriel García Márquez|Interactive Narrative Simulations|Gabriel García Márquez's work inspired Interactive Narrative Simulations|56b029acb00ec4416acd22ec3132ac82|
The Gabo Experience (Interactive Installation)|Immersive Experientialist|The Gabo Experience is an example of Immersive Experientialist|97984692473c97a760dd57d0f0b33f17|
Rigoberta Menchú|Empathetic Perspective-Taker|Rigoberta Menchú is also an Empathetic Perspective-Taker|5fdcddd192e6082d5cb8a77bbb4fa9a5|
The Menchú Experience (Interactive Installation)|Culturally Contextualized Debates|The Menchú Experience features Culturally Contextualized Debates|be2b729b7ef7ce13a9d00f176a94c22a|
César Chávez|Predictive Visionary|César Chávez is a predictive visionary|a68c404d494e5524019a52650ad21c19|
Scenario Exploration|Interactive Installation|The scenario exploration is an interactive installation|e973204a124850a4bd2230e60cc3df9f|
Quackers|South America region|Quackers admires comprehensive tables for the South America region|5f3dc5f21684503e214b5589e7120e72|
Diverse personas|Innovative media formats|The tables showcase diverse personas and innovative media formats|28131922723abc1ed36ab0bff8dc458c|
Amplifying marginalized voices|Social activism|The tables emphasize amplifying marginalized voices and social activism|8830feb2fb4f677f7ef27f40b6ac36c0|
